frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.000, 0.98, 1, -2.283, 20.914, 633.6, -115.0, 1529.0, 23.398, -5.080, 4.716
2, 0, 0.033, 0.98, 1, -3.522, 22.603, 629.3, -115.3, 1521.9, 24.220, -3.435, 5.154
3, 0, 0.067, 0.98, 1, 1.022, 31.551, 620.4, -114.4, 1500.3, 24.008, -2.798, 5.549
4, 0, 0.100, 0.98, 1, -2.571, 27.360, 614.4, -114.1, 1484.8, 24.450, -2.506, 5.765
5, 0, 0.133, 0.98, 1, 0.599, 33.937, 610.7, -114.4, 1477.7, 25.473, -2.172, 5.441
6, 0, 0.167, 0.98, 1, 0.212, 35.159, 607.4, -114.3, 1469.6, 25.897, -2.252, 5.384
7, 0, 0.200, 0.98, 1, 0.960, 36.198, 605.4, -114.4, 1465.5, 26.372, -2.353, 5.251
8, 0, 0.234, 0.98, 1, 2.259, 37.452, 604.1, -114.7, 1463.1, 26.811, -2.201, 5.182
9, 0, 0.267, 0.98, 1, 1.511, 37.029, 602.2, -114.7, 1460.1, 26.970, -2.183, 5.198
10, 0, 0.300, 0.98, 1, 1.939, 37.167, 599.6, -114.3, 1454.2, 26.867, -2.439, 5.359
11, 0, 0.334, 0.98, 1, 0.652, 36.373, 600.2, -115.0, 1455.3, 26.951, -2.621, 5.314
12, 0, 0.367, 0.98, 1, 0.943, 36.671, 598.4, -114.6, 1452.2, 27.206, -2.544, 5.268
13, 0, 0.400, 0.98, 1, 0.879, 36.990, 596.8, -114.6, 1448.0, 26.979, -2.737, 5.308
14, 0, 0.434, 0.98, 1, 1.298, 36.851, 596.6, -114.6, 1448.1, 27.002, -2.754, 5.350
15, 0, 0.467, 0.98, 1, 1.596, 33.967, 598.4, -114.9, 1452.9, 27.306, -3.235, 5.220
16, 0, 0.501, 0.98, 1, 0.959, 33.866, 598.6, -115.0, 1453.3, 27.394, -3.226, 5.238
17, 0, 0.534, 0.98, 1, 1.171, 33.792, 598.8, -115.3, 1454.4, 27.332, -3.266, 5.212
18, 0, 0.567, 0.98, 1, 1.702, 34.422, 597.9, -115.6, 1453.6, 27.128, -3.195, 5.216
19, 0, 0.601, 0.98, 1, 1.249, 34.233, 596.6, -115.4, 1450.8, 27.049, -3.462, 5.363
20, 0, 0.634, 0.98, 1, 1.579, 36.914, 595.4, -115.5, 1448.0, 26.895, -2.768, 5.175
21, 0, 0.667, 0.98, 1, 1.601, 37.211, 594.2, -115.1, 1446.3, 26.961, -2.686, 5.259
22, 0, 0.701, 0.98, 1, 1.312, 37.078, 594.9, -115.2, 1447.0, 26.914, -2.711, 5.242
23, 0, 0.734, 0.98, 1, 1.561, 36.529, 594.8, -115.2, 1447.4, 26.981, -2.662, 5.225
24, 0, 0.767, 0.98, 1, 1.545, 34.261, 597.6, -116.1, 1454.2, 27.212, -3.075, 5.079
25, 0, 0.801, 0.98, 1, 1.351, 34.285, 596.4, -115.9, 1451.3, 27.273, -3.019, 5.140
26, 0, 0.834, 0.98, 1, 0.608, 34.297, 596.7, -116.0, 1452.1, 27.184, -2.994, 5.126
27, 0, 0.868, 0.98, 1, 0.816, 33.487, 596.9, -116.2, 1452.6, 27.312, -3.111, 5.030
28, 0, 0.901, 0.98, 1, 0.482, 33.048, 596.7, -116.2, 1452.4, 27.309, -3.254, 5.048
29, 0, 0.934, 0.98, 1, 1.280, 33.582, 596.2, -116.2, 1451.5, 27.240, -3.104, 5.009
30, 0, 0.968, 0.98, 1, 1.430, 33.879, 597.0, -116.5, 1452.3, 27.254, -2.969, 4.986
31, 0, 1.001, 0.98, 1, 0.013, 32.794, 596.5, -116.1, 1452.1, 27.145, -3.076, 5.130
32, 0, 1.034, 0.98, 1, 0.889, 36.165, 594.3, -115.6, 1446.7, 26.773, -2.530, 5.134
33, 0, 1.068, 0.98, 1, 1.022, 36.273, 594.0, -115.6, 1445.7, 26.714, -2.473, 5.157
34, 0, 1.101, 0.98, 1, 0.988, 33.639, 595.2, -115.9, 1449.7, 26.985, -3.065, 5.178
35, 0, 1.134, 0.98, 1, 1.604, 33.541, 595.6, -115.9, 1450.6, 27.207, -3.192, 5.142
36, 0, 1.168, 0.98, 1, 2.453, 33.240, 595.8, -116.0, 1451.2, 27.017, -3.201, 5.183
37, 0, 1.201, 0.98, 1, 1.257, 32.910, 595.6, -116.2, 1451.4, 26.957, -3.242, 5.093
38, 0, 1.235, 0.98, 1, 1.212, 32.902, 596.1, -116.2, 1452.1, 27.170, -3.276, 5.014
39, 0, 1.268, 0.98, 1, 1.519, 33.053, 595.4, -116.3, 1450.5, 27.168, -3.152, 4.980
40, 0, 1.301, 0.98, 1, 1.484, 34.014, 594.5, -116.0, 1448.9, 27.381, -2.918, 5.017
41, 0, 1.335, 0.98, 1, 1.532, 33.426, 595.9, -116.4, 1452.7, 27.505, -2.937, 4.991
42, 0, 1.368, 0.98, 1, 2.526, 33.628, 594.9, -116.3, 1450.3, 27.282, -2.990, 5.154
43, 0, 1.401, 0.98, 1, 1.627, 33.364, 594.3, -116.2, 1449.4, 27.331, -3.223, 5.087
44, 0, 1.435, 0.98, 1, 1.835, 33.287, 594.0, -116.2, 1447.9, 27.236, -3.233, 5.019
45, 0, 1.468, 0.98, 1, 2.153, 33.439, 593.7, -115.9, 1447.8, 27.138, -3.081, 5.062
46, 0, 1.502, 0.98, 1, 2.664, 33.958, 594.4, -116.3, 1449.3, 27.198, -3.079, 4.972
47, 0, 1.535, 0.98, 1, 1.973, 33.595, 594.2, -116.1, 1448.8, 27.022, -3.055, 4.998
48, 0, 1.568, 0.98, 1, 2.212, 33.479, 593.6, -115.7, 1447.2, 27.028, -3.238, 5.056
49, 0, 1.602, 0.98, 1, 1.819, 32.817, 594.7, -116.1, 1450.1, 27.009, -3.150, 5.005
50, 0, 1.635, 0.98, 1, 1.180, 32.549, 595.0, -116.1, 1450.3, 27.177, -3.411, 4.975
51, 0, 1.668, 0.98, 1, 1.947, 32.920, 594.1, -116.0, 1448.8, 27.100, -3.159, 4.934
52, 0, 1.702, 0.98, 1, 1.342, 32.651, 594.3, -116.1, 1449.4, 26.977, -3.124, 4.928
53, 0, 1.735, 0.98, 1, 2.188, 32.509, 594.4, -116.1, 1449.4, 27.000, -3.254, 4.998
54, 0, 1.768, 0.98, 1, 2.029, 32.664, 593.7, -115.9, 1448.0, 27.039, -3.274, 4.991
55, 0, 1.802, 0.98, 1, 1.882, 33.079, 593.5, -115.9, 1447.5, 27.099, -3.145, 4.971
56, 0, 1.835, 0.98, 1, 1.395, 32.845, 593.4, -115.9, 1447.0, 27.100, -3.080, 4.980
57, 0, 1.869, 0.98, 1, 0.694, 33.072, 593.8, -115.9, 1448.0, 27.226, -2.983, 4.867
58, 0, 1.902, 0.98, 1, 1.385, 33.269, 594.5, -116.0, 1449.9, 27.109, -2.976, 4.908
59, 0, 1.935, 0.98, 1, 1.449, 33.062, 593.9, -115.9, 1448.6, 27.036, -2.900, 4.862
60, 0, 1.969, 0.98, 1, 0.652, 32.997, 594.6, -116.2, 1450.1, 26.964, -3.080, 4.927
61, 0, 2.002, 0.98, 1, 2.311, 33.376, 594.0, -116.0, 1448.6, 27.171, -3.191, 4.876
62, 0, 2.035, 0.98, 1, 1.708, 33.032, 594.0, -116.0, 1449.2, 27.219, -2.853, 4.892
63, 0, 2.069, 0.98, 1, 2.100, 33.344, 594.1, -116.0, 1448.7, 27.211, -2.881, 4.858
64, 0, 2.102, 0.98, 1, 1.974, 33.299, 593.9, -115.9, 1448.7, 27.235, -2.781, 4.868
65, 0, 2.135, 0.98, 1, 3.132, 33.865, 593.2, -115.7, 1447.7, 26.810, -2.979, 5.088
66, 0, 2.169, 0.98, 1, 3.713, 34.457, 593.0, -115.8, 1446.9, 26.751, -2.579, 4.930
67, 0, 2.202, 0.98, 1, 2.341, 33.417, 593.1, -115.6, 1447.3, 26.827, -3.171, 5.085
68, 0, 2.236, 0.98, 1, 2.382, 33.159, 594.2, -115.8, 1449.3, 26.934, -2.916, 4.807
69, 0, 2.269, 0.98, 1, 1.873, 33.391, 593.9, -115.6, 1448.4, 26.692, -3.179, 4.893
70, 0, 2.302, 0.98, 1, 2.636, 32.831, 594.2, -115.8, 1448.6, 26.627, -3.368, 4.919
71, 0, 2.336, 0.98, 1, 1.369, 32.777, 593.7, -115.6, 1447.6, 26.761, -3.539, 4.985
72, 0, 2.369, 0.98, 1, 2.172, 33.009, 592.9, -115.6, 1446.0, 26.809, -3.538, 4.929
73, 0, 2.402, 0.98, 1, 1.158, 33.196, 592.6, -115.5, 1444.8, 26.763, -3.605, 4.975
74, 0, 2.436, 0.98, 1, 2.077, 33.289, 591.4, -115.0, 1441.9, 26.737, -3.524, 4.972
