frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.543, 0.98, 1, 11.962, 3.700, -148.4, -45.6, 757.8, -0.638, -9.780, -1.242
2, 0, 0.688, 0.98, 1, 12.164, 3.387, -148.0, -46.7, 756.7, -1.274, -10.076, -1.370
3, 0, 0.730, 0.98, 1, 12.708, 2.903, -156.1, -50.2, 750.3, -1.671, -10.193, -2.599
4, 0, 0.781, 0.98, 1, 13.491, 4.593, -161.0, -50.7, 747.5, 0.226, -10.985, -2.553
5, 0, 0.827, 0.98, 1, 13.434, 5.199, -169.3, -51.7, 740.1, 0.914, -10.131, -3.061
6, 0, 0.876, 0.98, 1, 14.101, 5.919, -173.4, -52.2, 734.7, 1.617, -10.825, -2.863
7, 0, 0.921, 0.98, 1, 14.370, 6.126, -178.5, -52.8, 727.7, 1.804, -10.882, -2.693
8, 0, 0.962, 0.98, 1, 15.011, 6.369, -181.3, -53.3, 728.5, 2.053, -11.991, -2.144
9, 0, 1.012, 0.98, 1, 15.305, 6.573, -182.5, -53.4, 727.7, 2.401, -12.684, -1.574
10, 0, 1.055, 0.98, 1, 15.524, 6.782, -181.3, -52.3, 723.5, 2.485, -13.215, -1.056
11, 0, 1.113, 0.98, 1, 15.425, 6.718, -179.4, -51.5, 722.0, 2.402, -13.276, -0.880
12, 0, 1.186, 0.98, 1, 14.773, 6.838, -174.2, -48.9, 720.9, 2.627, -12.619, -0.367
13, 0, 1.233, 0.98, 1, 14.050, 7.103, -168.0, -46.3, 723.9, 2.928, -12.094, 0.514
14, 0, 1.279, 0.98, 1, 13.405, 7.083, -160.7, -43.8, 729.2, 2.896, -11.717, 1.780
15, 0, 1.327, 0.98, 1, 12.726, 6.010, -156.4, -42.4, 730.1, 1.430, -10.961, 1.853
16, 0, 1.370, 0.98, 1, 11.920, 5.927, -152.9, -41.4, 733.0, 1.130, -9.964, 1.832
17, 0, 1.421, 0.98, 1, 11.146, 5.872, -150.1, -40.4, 738.7, 0.872, -9.100, 1.876
18, 0, 1.467, 0.98, 1, 9.302, 6.253, -145.3, -37.3, 748.5, 1.250, -7.120, 1.703
