frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
54, 0, 1.768, 0.98, 1, -27.693, 15.271, 319.4, -151.6, 1536.0, 12.912, 34.865, -3.709
55, 0, 1.802, 0.98, 1, -27.655, 15.730, 319.1, -151.7, 1535.5, 13.407, 34.916, -3.914
56, 0, 1.835, 0.98, 1, -27.688, 15.856, 318.7, -151.7, 1534.6, 13.475, 34.976, -3.968
57, 0, 1.869, 0.98, 1, -27.560, 15.166, 317.9, -151.0, 1529.9, 12.634, 34.707, -3.541
58, 0, 1.902, 0.98, 1, -27.335, 15.243, 316.8, -150.8, 1528.0, 12.691, 34.362, -3.552
59, 0, 1.935, 0.98, 1, -27.372, 15.351, 317.9, -151.1, 1530.2, 12.911, 34.371, -3.635
60, 0, 1.969, 0.98, 1, -27.412, 14.991, 317.9, -151.0, 1530.7, 12.457, 34.468, -3.541
61, 0, 2.002, 0.98, 1, -27.644, 15.284, 317.7, -150.9, 1529.2, 12.497, 34.722, -3.538
62, 0, 2.035, 0.98, 1, -27.552, 15.603, 317.6, -150.6, 1529.4, 12.591, 34.667, -3.487
63, 0, 2.069, 0.98, 1, -27.526, 15.549, 318.1, -150.7, 1531.2, 12.412, 34.691, -3.420
64, 0, 2.102, 0.98, 1, -27.703, 15.538, 318.2, -150.4, 1530.1, 12.258, 34.941, -3.371
65, 0, 2.135, 0.98, 1, -27.529, 16.025, 317.4, -150.2, 1528.5, 12.865, 34.645, -3.592
66, 0, 2.169, 0.98, 1, -27.617, 15.852, 318.1, -150.2, 1530.4, 12.725, 34.786, -3.636
67, 0, 2.202, 0.98, 1, -27.606, 16.054, 317.9, -150.1, 1529.7, 13.088, 34.767, -3.667
68, 0, 2.236, 0.98, 1, -27.613, 15.961, 318.1, -150.1, 1530.7, 12.959, 34.708, -3.591
69, 0, 2.269, 0.98, 1, -27.579, 15.977, 318.0, -150.0, 1530.3, 12.939, 34.690, -3.602
70, 0, 2.302, 0.98, 1, -27.645, 16.146, 317.3, -149.7, 1528.4, 13.097, 34.791, -3.683
71, 0, 2.336, 0.98, 1, -27.681, 16.075, 317.4, -149.7, 1529.0, 13.024, 34.892, -3.617
72, 0, 2.369, 0.98, 1, -27.756, 16.146, 317.0, -149.5, 1527.3, 13.020, 35.023, -3.560
73, 0, 2.402, 0.98, 1, -27.763, 16.227, 317.0, -149.3, 1526.2, 13.058, 35.030, -3.632
74, 0, 2.436, 0.98, 1, -27.750, 16.415, 316.2, -148.9, 1523.3, 13.177, 35.066, -3.557
75, 0, 2.469, 0.98, 1, -27.847, 16.381, 316.0, -148.5, 1521.2, 12.946, 35.272, -3.598
76, 0, 2.503, 0.98, 1, -27.844, 16.815, 315.9, -148.5, 1520.7, 13.048, 35.281, -3.593
77, 0, 2.536, 0.98, 1, -27.967, 18.161, 316.8, -148.6, 1525.3, 13.293, 35.483, -3.861
78, 0, 2.569, 0.98, 1, -28.020, 18.510, 316.6, -148.9, 1526.5, 13.531, 35.525, -4.109
79, 0, 2.603, 0.98, 1, -27.914, 18.233, 314.7, -148.0, 1517.0, 13.676, 35.449, -4.220
80, 0, 2.636, 0.98, 1, -27.920, 17.418, 313.3, -147.5, 1510.9, 13.545, 35.491, -4.222
81, 0, 2.669, 0.98, 1, -27.955, 16.728, 313.1, -147.5, 1510.0, 13.409, 35.574, -4.143
82, 0, 2.703, 0.98, 1, -27.965, 16.388, 312.3, -147.4, 1506.0, 13.409, 35.597, -4.101
83, 0, 2.736, 0.98, 1, -28.047, 16.316, 311.7, -147.2, 1503.5, 13.505, 35.656, -4.147
84, 0, 2.769, 0.98, 1, -28.091, 16.204, 311.3, -147.1, 1501.8, 13.479, 35.665, -4.080
85, 0, 2.803, 0.98, 1, -28.107, 15.909, 311.4, -147.1, 1501.2, 13.183, 35.661, -3.959
86, 0, 2.836, 0.98, 1, -28.111, 15.858, 311.1, -147.3, 1499.7, 13.242, 35.801, -3.992
87, 0, 2.870, 0.98, 1, -28.138, 15.991, 310.8, -146.9, 1499.1, 13.399, 35.705, -4.004
88, 0, 2.903, 0.98, 1, -28.127, 15.728, 310.6, -146.9, 1497.2, 13.114, 35.802, -4.033
89, 0, 2.936, 0.98, 1, -28.207, 15.788, 310.5, -146.8, 1496.4, 13.213, 35.853, -4.035
90, 0, 2.970, 0.98, 1, -28.231, 15.724, 310.3, -146.7, 1494.9, 13.225, 35.868, -4.051
91, 0, 3.003, 0.98, 1, -28.362, 15.728, 309.9, -146.5, 1493.4, 13.361, 36.078, -4.101
92, 0, 3.036, 0.98, 1, -28.336, 15.758, 310.1, -146.7, 1494.3, 13.347, 36.019, -4.066
93, 0, 3.070, 0.98, 1, -28.299, 15.749, 309.8, -146.6, 1492.3, 13.424, 35.907, -4.125
94, 0, 3.103, 0.98, 1, -28.292, 15.672, 309.9, -146.5, 1491.8, 13.289, 35.957, -4.167
95, 0, 3.136, 0.98, 1, -28.250, 15.753, 309.1, -146.6, 1489.6, 13.412, 35.996, -4.213
96, 0, 3.170, 0.98, 1, -28.216, 15.701, 309.0, -146.6, 1489.4, 13.396, 35.921, -4.201
97, 0, 3.203, 0.98, 1, -28.353, 15.706, 309.4, -146.7, 1490.0, 13.413, 36.106, -4.309
98, 0, 3.237, 0.98, 1, -28.270, 15.646, 309.2, -146.5, 1488.6, 13.347, 35.919, -4.239
99, 0, 3.270, 0.98, 1, -28.393, 15.592, 308.8, -146.6, 1486.4, 13.315, 36.149, -4.295
100, 0, 3.303, 0.98, 1, -28.411, 15.677, 308.9, -146.6, 1485.9, 13.291, 36.164, -4.295
101, 0, 3.337, 0.98, 1, -28.289, 15.703, 308.5, -146.4, 1484.0, 13.241, 36.034, -4.306
102, 0, 3.370, 0.98, 1, -28.322, 15.375, 309.0, -146.5, 1485.8, 12.803, 36.105, -4.285
103, 0, 3.403, 0.98, 1, -28.176, 15.389, 308.9, -146.3, 1484.8, 12.977, 35.907, -4.446
104, 0, 3.437, 0.98, 1, -28.115, 15.378, 308.8, -146.2, 1483.8, 13.104, 35.851, -4.539
105, 0, 3.470, 0.98, 1, -28.072, 15.395, 309.6, -146.6, 1486.5, 12.969, 35.754, -4.635
106, 0, 3.504, 0.98, 1, -27.811, 15.557, 309.7, -146.6, 1487.1, 13.092, 35.430, -4.671
107, 0, 3.537, 0.98, 1, -27.683, 15.776, 310.7, -147.1, 1490.4, 12.831, 35.218, -4.764
108, 0, 3.570, 0.98, 1, -27.495, 16.810, 313.0, -147.9, 1497.8, 12.753, 35.166, -4.906
109, 0, 3.604, 0.98, 1, -27.178, 18.097, 315.6, -148.3, 1506.7, 12.896, 34.597, -5.168
110, 0, 3.637, 0.98, 1, -26.800, 17.651, 315.9, -148.7, 1507.3, 12.338, 34.051, -5.044
111, 0, 3.670, 0.98, 1, -26.420, 17.268, 315.7, -148.6, 1504.1, 12.251, 33.589, -5.047
112, 0, 3.704, 0.98, 1, -26.127, 16.326, 315.8, -148.5, 1502.5, 11.991, 33.230, -4.943
113, 0, 3.737, 0.98, 1, -25.943, 15.590, 316.0, -149.1, 1501.7, 11.758, 32.998, -4.768
114, 0, 3.770, 0.98, 1, -25.818, 15.074, 315.7, -149.6, 1499.8, 11.579, 32.884, -4.589
115, 0, 3.804, 0.98, 1, -25.875, 14.654, 315.7, -150.1, 1501.3, 11.473, 32.824, -4.540
116, 0, 3.837, 0.98, 1, -25.722, 14.310, 316.0, -150.5, 1500.8, 11.242, 32.602, -4.414
117, 0, 3.871, 0.98, 1, -25.463, 13.868, 316.6, -151.3, 1502.7, 10.815, 32.276, -4.181
118, 0, 3.904, 0.98, 1, -24.708, 13.328, 318.2, -152.2, 1504.7, 10.401, 31.216, -3.843
119, 0, 3.937, 0.98, 1, -23.875, 12.259, 320.3, -153.3, 1506.0, 9.734, 29.967, -3.538
120, 0, 3.971, 0.98, 1, -22.626, 11.603, 323.2, -154.5, 1508.3, 9.331, 28.029, -3.474
121, 0, 4.004, 0.98, 1, -21.151, 11.112, 326.4, -155.6, 1511.9, 8.867, 25.674, -3.423
122, 0, 4.037, 0.98, 1, -19.850, 10.359, 330.7, -156.8, 1518.8, 8.071, 23.668, -3.232
123, 0, 4.071, 0.98, 1, -18.256, 10.005, 334.5, -158.1, 1522.6, 7.371, 21.603, -3.732
124, 0, 4.104, 0.98, 1, -17.551, 8.696, 336.2, -158.0, 1516.2, 5.527, 21.411, -5.273
125, 0, 4.137, 0.98, 1, -16.572, 8.299, 337.9, -158.3, 1514.8, 5.013, 20.183, -6.083
126, 0, 4.171, 0.98, 1, -15.700, 7.785, 340.2, -159.2, 1516.8, 4.537, 19.021, -6.404
127, 0, 4.204, 0.98, 1, -15.038, 7.181, 341.7, -159.6, 1518.4, 3.809, 18.228, -6.530
128, 0, 4.238, 0.98, 1, -14.527, 6.675, 343.4, -160.3, 1522.6, 3.327, 17.505, -6.678
129, 0, 4.271, 0.98, 1, -14.164, 6.301, 344.4, -160.7, 1525.0, 2.866, 17.054, -6.845
130, 0, 4.304, 0.98, 1, -14.016, 5.984, 344.8, -160.9, 1525.4, 2.422, 17.024, -6.861
131, 0, 4.338, 0.98, 1, -13.968, 5.741, 344.8, -161.1, 1526.5, 2.202, 16.976, -6.982
132, 0, 4.371, 0.98, 1, -14.000, 5.945, 344.0, -160.8, 1524.8, 2.430, 17.017, -6.973
133, 0, 4.404, 0.98, 1, -14.236, 5.883, 343.5, -160.8, 1525.6, 2.373, 17.367, -7.055
134, 0, 4.438, 0.98, 1, -14.346, 5.867, 343.0, -161.1, 1526.5, 2.402, 17.504, -7.059
135, 0, 4.471, 0.98, 1, -14.392, 5.961, 343.0, -161.3, 1527.9, 2.448, 17.564, -7.075
136, 0, 4.505, 0.98, 1, -14.323, 6.138, 342.7, -161.4, 1530.0, 2.669, 17.409, -7.141
137, 0, 4.538, 0.98, 1, -14.424, 6.281, 342.2, -161.6, 1530.4, 2.913, 17.530, -7.205
138, 0, 4.571, 0.98, 1, -14.369, 6.573, 342.3, -161.7, 1532.0, 3.266, 17.434, -7.412
139, 0, 4.605, 0.98, 1, -14.392, 6.597, 342.1, -162.0, 1533.6, 3.358, 17.531, -7.524
140, 0, 4.638, 0.98, 1, -14.435, 6.635, 341.8, -162.1, 1534.3, 3.392, 17.597, -7.597
141, 0, 4.671, 0.98, 1, -14.420, 6.629, 341.9, -162.2, 1536.0, 3.517, 17.509, -7.685
142, 0, 4.705, 0.98, 1, -14.323, 6.582, 342.0, -162.2, 1537.8, 3.424, 17.336, -7.640
143, 0, 4.738, 0.98, 1, -14.451, 6.445, 342.3, -162.3, 1538.5, 3.312, 17.512, -7.527
144, 0, 4.771, 0.98, 1, -14.426, 6.430, 342.1, -162.4, 1538.9, 3.289, 17.466, -7.516
145, 0, 4.805, 0.98, 1, -14.320, 6.389, 342.0, -162.3, 1539.5, 3.187, 17.316, -7.404
146, 0, 4.838, 0.98, 1, -14.416, 6.283, 341.7, -162.6, 1538.8, 3.140, 17.398, -7.299
147, 0, 4.872, 0.98, 1, -14.488, 6.276, 342.0, -162.7, 1539.5, 3.128, 17.554, -7.231
148, 0, 4.905, 0.98, 1, -14.492, 6.401, 341.8, -162.7, 1539.4, 3.255, 17.562, -7.272
149, 0, 4.938, 0.98, 1, -14.565, 6.256, 341.9, -163.0, 1539.7, 3.076, 17.647, -7.203
150, 0, 4.972, 0.98, 1, -14.547, 6.281, 341.7, -162.9, 1539.8, 3.087, 17.626, -7.232
151, 0, 5.005, 0.98, 1, -14.587, 6.373, 342.0, -162.8, 1540.6, 3.238, 17.685, -7.157
152, 0, 5.038, 0.98, 1, -14.589, 6.353, 341.7, -162.6, 1539.3, 3.174, 17.665, -7.136
153, 0, 5.072, 0.98, 1, -14.676, 6.324, 341.8, -162.7, 1539.9, 3.166, 17.810, -7.045
154, 0, 5.105, 0.98, 1, -14.745, 6.328, 342.4, -162.5, 1541.5, 3.145, 17.863, -6.953
155, 0, 5.138, 0.98, 1, -14.865, 6.288, 342.3, -162.6, 1541.0, 3.075, 18.021, -6.795
156, 0, 5.172, 0.98, 1, -14.862, 6.390, 342.3, -162.8, 1541.0, 3.178, 18.043, -6.745
157, 0, 5.205, 0.98, 1, -14.836, 6.549, 342.6, -162.8, 1541.4, 3.420, 17.971, -6.824
158, 0, 5.239, 0.98, 1, -14.920, 6.651, 343.1, -163.1, 1543.7, 3.500, 18.126, -6.719
