frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.554, 0.98, 1, 13.306, 1.282, -204.7, -60.5, 696.4, -4.620, -9.347, -0.191
2, 0, 0.705, 0.98, 1, 12.961, 0.337, -204.3, -60.1, 693.8, -5.837, -9.064, -0.363
3, 0, 0.752, 0.98, 1, 12.919, -0.130, -204.4, -60.1, 693.1, -6.262, -9.073, -0.399
4, 0, 0.810, 0.98, 1, 12.886, -0.274, -204.3, -60.0, 692.8, -6.427, -9.029, -0.382
5, 0, 0.859, 0.98, 1, 12.944, -0.413, -204.4, -60.1, 692.7, -6.600, -9.133, -0.270
6, 0, 0.909, 0.98, 1, 13.005, -0.516, -204.8, -60.2, 694.0, -6.561, -9.203, -0.290
7, 0, 0.952, 0.98, 1, 12.966, -0.325, -204.8, -60.1, 693.4, -6.319, -9.157, -0.230
8, 0, 1.003, 0.98, 1, 13.008, -0.505, -204.8, -60.1, 693.3, -6.527, -9.196, -0.272
9, 0, 1.044, 0.98, 1, 12.881, -0.436, -204.9, -60.1, 693.2, -6.476, -9.037, -0.272
10, 0, 1.093, 0.98, 1, 12.854, -0.229, -204.6, -60.0, 691.8, -6.238, -9.025, -0.294
11, 0, 1.131, 0.98, 1, 12.931, -0.480, -205.1, -60.1, 693.3, -6.575, -9.080, -0.348
12, 0, 1.184, 0.98, 1, 12.895, -0.587, -204.8, -59.9, 692.3, -6.623, -9.068, -0.428
13, 0, 1.233, 0.98, 1, 12.858, -0.455, -205.0, -60.0, 692.7, -6.467, -8.985, -0.256
14, 0, 1.280, 0.98, 1, 12.949, -0.349, -204.7, -60.0, 692.2, -6.353, -9.109, -0.294
15, 0, 1.331, 0.98, 1, 12.928, -0.155, -204.8, -60.0, 692.3, -6.163, -9.075, -0.222
16, 0, 1.377, 0.98, 1, 12.856, -0.306, -204.6, -59.9, 691.7, -6.391, -9.016, -0.188
17, 0, 1.427, 0.98, 1, 12.783, -0.296, -204.5, -59.9, 691.4, -6.420, -8.898, -0.176
18, 0, 1.473, 0.98, 1, 12.871, -0.255, -204.7, -60.0, 692.0, -6.310, -9.020, -0.231
19, 0, 1.514, 0.98, 1, 12.817, -0.147, -204.8, -59.8, 691.3, -6.287, -9.043, -0.489
20, 0, 1.569, 0.98, 1, 12.844, -0.137, -205.0, -59.8, 691.4, -6.240, -9.030, -0.471
21, 0, 1.628, 0.98, 1, 12.752, -0.214, -205.4, -59.8, 692.1, -6.265, -8.858, -0.483
22, 0, 1.678, 0.98, 1, 12.713, -0.359, -205.2, -59.7, 691.5, -6.532, -8.866, -0.482
23, 0, 1.724, 0.98, 1, 12.713, -0.503, -204.9, -59.6, 690.2, -6.728, -8.898, -0.523
24, 0, 1.772, 0.98, 1, 12.557, -0.245, -204.9, -59.4, 689.3, -6.481, -8.640, -0.454
25, 0, 1.817, 0.98, 1, 12.370, -0.012, -205.5, -59.4, 689.4, -6.156, -8.375, -0.447
26, 0, 1.864, 0.98, 1, 10.427, 1.719, -208.5, -58.7, 685.1, -5.372, -5.326, -0.398
27, 0, 1.912, 0.98, 1, 7.604, 2.328, -214.5, -57.5, 686.0, -5.782, -1.358, 0.336
28, 0, 1.965, 0.93, 1, 5.038, 3.749, -220.2, -53.4, 673.6, -3.864, 2.052, 0.314
29, 0, 2.011, 0.93, 1, 1.250, 4.779, -227.0, -50.9, 666.8, -2.950, 7.774, 0.452
30, 0, 2.063, 0.88, 1, -2.375, 5.927, -234.2, -48.9, 662.7, -1.571, 13.872, 0.866
31, 0, 2.125, 0.98, 1, -8.723, 4.933, -254.1, -46.0, 671.9, -1.372, 24.035, 1.718
32, 0, 2.323, 0.88, 1, -9.950, 5.393, -264.7, -44.7, 677.6, 0.709, 26.859, 2.519
33, 0, 2.373, 0.98, 1, -19.458, 6.658, -291.2, -35.8, 696.6, 2.540, 50.567, -5.532
34, 0, 2.580, 0.98, 1, -19.551, 6.798, -291.9, -33.8, 693.7, 2.826, 49.823, -7.808
35, 0, 2.617, 0.98, 1, -17.368, -0.415, -291.8, -27.5, 676.7, -5.245, 47.008, -14.200
36, 0, 2.664, 0.98, 1, -18.474, -0.504, -295.7, -26.8, 677.8, -6.831, 50.700, -14.311
37, 0, 2.701, 0.98, 1, -18.700, 0.274, -303.7, -27.4, 690.2, -6.001, 51.167, -12.343
38, 0, 2.746, 0.98, 1, -19.086, 1.216, -312.3, -28.2, 704.3, -4.141, 51.171, -11.292
39, 0, 2.785, 0.98, 1, -19.620, 3.251, -316.7, -28.4, 712.1, -0.977, 52.395, -10.785
40, 0, 2.826, 0.98, 1, -19.060, 5.890, -323.7, -29.6, 721.3, 2.922, 50.846, -10.228
41, 0, 2.860, 0.98, 1, -19.473, 9.647, -316.7, -32.6, 706.7, 5.648, 51.986, -7.505
42, 0, 2.909, 0.98, 1, -17.561, 8.955, -315.2, -37.0, 706.8, 3.276, 47.648, -3.072
43, 0, 2.944, 0.98, 1, -17.826, 7.242, -303.0, -40.2, 696.1, -0.543, 49.895, 0.426
44, 0, 2.993, 0.98, 1, -2.888, 6.177, -277.7, -47.3, 684.5, 0.381, 16.246, -3.095
45, 0, 3.161, 0.82, 1, -0.922, 2.940, -265.2, -47.8, 673.1, -2.617, 13.646, -1.820
46, 0, 3.209, 0.98, 1, 16.000, 1.841, -225.5, -53.8, 679.3, -3.316, -12.146, -6.683
47, 0, 3.363, 0.98, 1, 15.786, 0.502, -223.9, -53.6, 678.3, -4.978, -11.721, -7.498
48, 0, 3.410, 0.98, 1, 15.884, -0.620, -222.2, -55.1, 677.8, -6.321, -11.648, -7.829
49, 0, 3.454, 0.98, 1, 15.978, -0.778, -222.1, -55.5, 678.2, -6.500, -11.718, -7.866
