frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
35, 0, 2.871, 0.98, 1, -3.764, 34.351, 223.1, -249.8, 606.2, 28.852, -1.889, 6.401,0,0,3.306249999999995,1.6160400000000197,0
36, 0, 2.922, 0.98, 1, -3.826, 34.293, 223.3, -250.0, 606.5, 28.708, -1.846, 6.478,0,4.020000000000024,3.306249999999995,1.6160400000000197,0
37, 0, 2.972, 0.98, 1, -3.921, 34.406, 223.5, -250.3, 606.7, 28.909, -1.734, 6.407,0,0,3.306249999999995,0,0
38, 0, 3.022, 0.98, 1, -3.943, 34.195, 223.4, -250.1, 606.4, 28.696, -1.628, 6.450,0,0,3.306249999999995,0,0
39, 0, 3.070, 0.98, 1, -4.137, 34.059, 223.6, -250.3, 606.9, 28.631, -1.405, 6.522,0,0,3.306249999999995,0,0
40, 0, 3.115, 0.98, 1, -4.187, 34.049, 223.6, -250.3, 606.8, 28.628, -1.360, 6.452,0,0,3.306249999999995,0,0
41, 0, 3.165, 0.98, 1, -4.279, 33.804, 223.2, -249.9, 605.9, 28.362, -1.159, 6.528,-5.749999999999996,0,3.306249999999995,0,0
42, 0, 3.213, 0.98, 1, -4.139, 33.868, 223.7, -251.1, 606.7, 28.339, -1.435, 6.179,0,0,0,0.2910034602076089,0.2910034602076089
43, 0, 3.261, 0.98, 1, -4.237, 33.676, 223.7, -251.9, 606.7, 28.133, -1.326, 6.053,0,0,78250.27176176617,0.28786097872522,0
44, 0, 3.305, 0.98, 1, -4.887, 32.918, 223.8, -254.5, 607.9, 27.689, -0.361, 5.518,0,0,78085.05562674679,20.745076148152325,0
45, 0, 3.355, 0.98, 1, -5.442, 32.636, 223.9, -256.9, 610.0, 27.475, 0.249, 4.763,0,0,77257.0652788003,3079.707523301046,0
46, 0, 3.406, 0.98, 1, -5.865, 32.774, 224.1, -259.4, 612.0, 27.341, 1.002, 4.073,0,0,76053.7674868044,3034.1720511408853,0
47, 0, 3.458, 0.98, 1, -6.873, 32.418, 224.1, -263.1, 614.7, 26.523, 2.711, 3.569,0,0,75366.96332853037,2981.9561535234034,0
48, 0, 3.509, 0.98, 1, -7.718, 31.761, 224.4, -266.9, 618.6, 25.480, 4.054, 3.483,0,0,75361.97648188841,2981.9561535234034,0
49, 0, 3.556, 0.98, 1, -8.237, 31.232, 223.6, -268.1, 618.8, 24.938, 4.684, 3.033,0,0,74789.79614213038,2949.343606043052,0
50, 0, 3.605, 0.98, 1, -9.078, 30.613, 223.6, -271.0, 621.7, 24.336, 5.848, 2.861,0,0,74789.79614213038,2882.151748593359,0
51, 0, 3.650, 0.98, 1, -9.469, 30.071, 222.3, -271.4, 620.3, 23.719, 6.339, 2.360,0,1.7058823529411662,74712.12389550243,2786.274877576717,0
52, 0, 3.701, 0.98, 1, -9.956, 30.139, 221.5, -272.2, 619.7, 23.806, 7.069, 1.607,-884.5918367346952,0.12244897959184155,74546.5911081888,2681.8848440563293,0
53, 0, 3.750, 0.88, 1, 36.870, 23.957, -747.7, -494.7, 1630.7, 23.812, -36.276, 17.559,-8.798507462686537,14.507462686567168,1996.7613753882638,2538.776414804433,542.0150394161692
