frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
44,0,1.435,0.98,1,1.835,33.287,594,-116.2,1447.9,27.236,-3.233,5.019,0,0,8.532435466,2.555240144,0
45,0,1.468,0.98,1,2.153,33.439,593.7,-115.9,1447.8,27.138,-3.081,5.062,0,1.764705882,8.532435466,2.517003102,0
46,0,1.502,0.98,1,2.664,33.958,594.4,-116.3,1449.3,27.198,-3.079,4.972,0,0,8.532435466,2.549327782,0
47,0,1.535,0.98,1,1.973,33.595,594.2,-116.1,1448.8,27.022,-3.055,4.998,-5.545454545,0.181818182,8.532435466,3.185911613,0
48,0,1.568,0.98,1,2.212,33.479,593.6,-115.7,1447.2,27.028,-3.238,5.056,0,0,6.992031425,3.232992043,0
49,0,1.602,0.98,1,1.819,32.817,594.7,-116.1,1450.1,27.009,-3.15,5.005,-7.909090909,5.090909091,6.992031425,3.232992043,0
50,0,1.635,0.98,1,1.18,32.549,595,-116.1,1450.3,27.177,-3.411,4.975,0,0,3.803566404,1.476129298,0
51,0,1.668,0.98,1,1.947,32.92,594.1,-116,1448.8,27.1,-3.159,4.934,0,0,4.199488189,4.382157495,0.182669306
52,0,1.702,0.98,1,1.342,32.651,594.3,-116.1,1449.4,26.977,-3.124,4.928,-3.939393939,0.696969697,4.199488189,4.152437838,0
53,0,1.735,0.98,1,2.188,32.509,594.4,-116.1,1449.4,27,-3.254,4.998,-0.606060606,1.181818182,3.356865605,4.327046071,0.970180467
54,0,1.768,0.98,1,2.029,32.664,593.7,-115.9,1448,27.039,-3.274,4.991,0,1.764705882,3.447828712,4.37388703,0.926058318
55,0,1.802,0.98,1,1.882,33.079,593.5,-115.9,1447.5,27.099,-3.145,4.971,0,0.03030303,5.783657589,4.540536221,0
56,0,1.835,0.98,1,1.395,32.845,593.4,-115.9,1447,27.1,-3.08,4.98,0,3.705882353,5.783657589,4.548633234,0
57,0,1.869,0.98,1,0.694,33.072,593.8,-115.9,1448,27.226,-2.983,4.867,0,0,31.79417992,3.969237833,0
58,0,1.902,0.98,1,1.385,33.269,594.5,-116,1449.9,27.109,-2.976,4.908,0,0,31.79417992,4.207308563,0
59,0,1.935,0.98,1,1.449,33.062,593.9,-115.9,1448.6,27.036,-2.9,4.862,-5.294117647,0,32.22683866,4.207308563,0
60,0,1.969,0.98,1,0.652,32.997,594.6,-116.2,1450.1,26.964,-3.08,4.927,-3.363636364,6.272727273,32.35678518,4.207308563,0
61,0,2.002,0.98,1,2.311,33.376,594,-116,1448.6,27.171,-3.191,4.876,0,1.454545455,32.33119974,2.22131123,0
62,0,2.035,0.98,1,1.708,33.032,594,-116,1449.2,27.219,-2.853,4.892,-0.823529412,0,32.33119974,2.22131123,0
