frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.000, 0.98, 1, -21.348, 17.747, 425.3, -192.0, 1616.1, 18.345, 25.427, -13.430
2, 0, 0.033, 0.98, 1, -21.757, 18.798, 426.4, -193.3, 1622.9, 19.756, 25.927, -13.881
3, 0, 0.067, 0.98, 1, -21.729, 19.127, 425.6, -192.7, 1620.1, 20.024, 25.907, -14.214
4, 0, 0.100, 0.98, 1, -21.768, 19.396, 425.4, -192.9, 1623.0, 20.269, 25.901, -14.295
5, 0, 0.133, 0.98, 1, -21.883, 19.365, 423.4, -192.6, 1619.4, 20.273, 26.158, -14.204
6, 0, 0.167, 0.98, 1, -21.978, 19.072, 424.1, -192.9, 1622.8, 19.871, 26.280, -14.038
7, 0, 0.200, 0.98, 1, -21.879, 19.575, 423.7, -192.8, 1624.5, 19.941, 26.249, -13.927
8, 0, 0.234, 0.98, 1, -21.935, 21.235, 426.1, -193.3, 1636.3, 20.336, 26.565, -14.239
9, 0, 0.267, 0.98, 1, -22.051, 21.281, 424.9, -192.6, 1633.8, 20.460, 26.784, -14.250
10, 0, 0.300, 0.98, 1, -22.159, 21.090, 422.2, -191.5, 1626.5, 20.618, 26.834, -14.343
11, 0, 0.334, 0.98, 1, -22.355, 20.559, 421.3, -190.8, 1622.6, 20.722, 26.991, -14.355
12, 0, 0.367, 0.98, 1, -22.595, 20.101, 420.4, -190.4, 1622.3, 20.600, 27.286, -14.327
13, 0, 0.400, 0.98, 1, -23.016, 20.307, 419.2, -189.6, 1619.6, 21.039, 27.853, -14.539
14, 0, 0.434, 0.98, 1, -23.443, 20.225, 416.6, -188.7, 1614.6, 20.892, 28.548, -14.511
15, 0, 0.467, 0.98, 1, -23.844, 20.096, 416.1, -188.7, 1616.0, 20.711, 28.989, -14.066
16, 0, 0.501, 0.98, 1, -24.360, 20.298, 415.2, -187.9, 1616.2, 21.012, 29.529, -14.013
17, 0, 0.534, 0.98, 1, -24.696, 20.586, 415.5, -188.2, 1619.7, 21.466, 29.831, -14.196
18, 0, 0.567, 0.98, 1, -25.106, 21.049, 415.5, -187.9, 1619.7, 22.171, 30.314, -14.430
19, 0, 0.601, 0.98, 1, -25.429, 20.977, 413.9, -187.7, 1616.0, 22.126, 30.874, -14.619
20, 0, 0.634, 0.98, 1, -25.886, 21.516, 412.8, -187.2, 1614.2, 22.832, 31.491, -15.235
21, 0, 0.667, 0.98, 1, -26.309, 21.939, 412.2, -186.9, 1615.1, 23.141, 32.295, -15.685
22, 0, 0.701, 0.98, 1, -26.570, 22.612, 414.0, -187.1, 1623.0, 23.418, 32.722, -15.812
23, 0, 0.734, 0.98, 1, -26.650, 22.917, 415.3, -187.6, 1627.4, 23.493, 32.851, -15.698
24, 0, 0.767, 0.98, 1, -26.777, 23.315, 416.2, -187.7, 1629.0, 23.996, 32.935, -15.788
25, 0, 0.801, 0.98, 1, -26.930, 23.897, 417.5, -187.1, 1631.2, 24.757, 33.075, -16.047
26, 0, 0.834, 0.98, 1, -27.151, 24.186, 418.5, -186.6, 1633.5, 25.208, 33.399, -16.588
27, 0, 0.868, 0.98, 1, -27.300, 24.471, 419.6, -186.2, 1635.3, 25.702, 33.609, -16.946
28, 0, 0.901, 0.98, 1, -27.768, 24.814, 420.2, -185.4, 1635.0, 26.033, 34.131, -17.328
29, 0, 0.934, 0.98, 1, -27.771, 24.980, 420.8, -184.5, 1634.3, 26.321, 34.082, -17.636
30, 0, 0.968, 0.98, 1, -27.678, 25.583, 422.3, -183.6, 1634.7, 27.020, 33.874, -18.068
31, 0, 1.001, 0.98, 1, -27.545, 26.112, 423.7, -183.1, 1635.3, 27.549, 33.981, -18.671
32, 0, 1.034, 0.98, 1, -27.458, 25.974, 426.0, -182.8, 1637.7, 27.597, 33.894, -19.126
33, 0, 1.068, 0.98, 1, -27.229, 26.113, 428.1, -182.9, 1639.8, 27.761, 33.597, -19.279
34, 0, 1.101, 0.98, 1, -27.256, 26.181, 429.8, -183.1, 1639.4, 27.804, 33.624, -19.508
35, 0, 1.134, 0.98, 1, -27.065, 26.108, 430.8, -183.0, 1637.7, 27.654, 33.483, -19.775
36, 0, 1.168, 0.98, 1, -26.654, 25.990, 431.9, -183.1, 1636.7, 27.400, 32.946, -19.799
37, 0, 1.201, 0.98, 1, -26.459, 25.906, 433.7, -183.3, 1637.5, 27.401, 32.567, -19.912
38, 0, 1.235, 0.98, 1, -26.207, 25.801, 433.9, -182.3, 1635.7, 27.466, 32.186, -20.008
39, 0, 1.268, 0.98, 1, -25.864, 25.962, 434.9, -182.1, 1635.3, 27.564, 31.673, -20.199
40, 0, 1.301, 0.98, 1, -25.434, 25.866, 434.4, -181.0, 1633.6, 27.439, 31.090, -20.700
41, 0, 1.335, 0.98, 1, -25.072, 25.781, 433.1, -180.2, 1631.3, 27.307, 30.680, -21.135
42, 0, 1.368, 0.98, 1, -24.903, 25.676, 432.0, -179.4, 1632.2, 27.227, 30.561, -21.793
43, 0, 1.401, 0.98, 1, -24.944, 25.815, 430.3, -178.3, 1633.0, 27.296, 30.838, -22.715
44, 0, 1.435, 0.98, 1, -25.005, 25.921, 427.6, -177.0, 1630.5, 27.421, 31.106, -23.518
45, 0, 1.468, 0.98, 1, -25.089, 25.723, 424.8, -176.4, 1630.3, 27.190, 31.474, -24.099
46, 0, 1.502, 0.98, 1, -25.322, 25.924, 423.0, -176.0, 1634.8, 27.563, 31.803, -24.768
47, 0, 1.535, 0.98, 1, -25.682, 26.448, 423.1, -176.4, 1645.4, 28.001, 32.350, -25.364
48, 0, 1.568, 0.98, 1, -26.218, 27.047, 421.0, -175.7, 1646.4, 28.549, 33.134, -26.062
49, 0, 1.602, 0.98, 1, -26.632, 27.446, 417.6, -174.4, 1644.1, 29.048, 33.682, -26.598
50, 0, 1.635, 0.98, 1, -26.650, 27.550, 414.6, -172.7, 1642.6, 29.342, 33.861, -26.996
51, 0, 1.668, 0.98, 1, -26.976, 28.299, 412.5, -172.0, 1644.0, 30.490, 34.272, -27.853
52, 0, 1.702, 0.98, 1, -27.133, 28.993, 408.4, -169.9, 1638.7, 31.512, 34.445, -28.683
53, 0, 1.735, 0.98, 1, -27.038, 29.195, 405.3, -168.0, 1635.3, 31.752, 34.453, -29.050
54, 0, 1.768, 0.98, 1, -26.951, 29.186, 402.0, -166.0, 1630.9, 31.761, 34.496, -29.320
55, 0, 1.802, 0.98, 1, -26.749, 29.187, 400.0, -164.2, 1630.9, 31.513, 34.312, -29.239
56, 0, 1.835, 0.98, 1, -26.547, 28.996, 399.4, -163.4, 1634.5, 31.511, 34.054, -29.515
57, 0, 1.869, 0.98, 1, -26.181, 29.210, 400.4, -162.5, 1641.2, 31.985, 33.381, -30.022
58, 0, 1.902, 0.98, 1, -26.179, 29.298, 398.6, -161.2, 1638.9, 32.193, 33.292, -30.412
59, 0, 1.935, 0.98, 1, -26.100, 29.279, 398.5, -160.8, 1640.2, 32.185, 33.307, -30.557
60, 0, 1.969, 0.98, 1, -26.088, 29.342, 398.6, -160.5, 1640.0, 32.285, 33.283, -30.748
61, 0, 2.002, 0.98, 1, -25.770, 29.190, 399.9, -160.9, 1642.9, 31.967, 33.135, -30.686
62, 0, 2.035, 0.98, 1, -26.108, 29.076, 401.3, -162.1, 1646.2, 32.167, 33.354, -30.751
63, 0, 2.069, 0.98, 1, -25.972, 29.218, 402.3, -162.8, 1647.6, 32.207, 33.216, -30.595
