frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.000, 0.98, 1, -39.750, 16.815, 385.4, -117.0, 1427.0, 7.010, 46.153, 4.018
2, 0, 0.033, 0.98, 1, -39.329, 16.670, 385.7, -117.5, 1431.5, 7.213, 46.307, 4.135
3, 0, 0.067, 0.98, 1, -39.767, 16.697, 387.7, -118.1, 1434.9, 7.403, 46.369, 4.333
4, 0, 0.100, 0.98, 1, -39.727, 16.762, 387.8, -117.8, 1434.6, 7.071, 46.382, 4.455
5, 0, 0.133, 0.98, 1, -39.377, 16.714, 388.3, -118.0, 1434.6, 7.250, 46.237, 4.420
6, 0, 0.167, 0.98, 1, -40.882, 16.666, 387.7, -117.8, 1431.9, 6.793, 46.237, 4.513
7, 0, 0.200, 0.98, 1, -41.672, 16.842, 388.5, -118.0, 1436.4, 7.009, 45.967, 4.501
8, 0, 0.234, 0.98, 1, -41.407, 16.652, 389.6, -118.6, 1437.5, 7.281, 45.893, 4.482
9, 0, 0.267, 0.98, 1, -41.309, 16.321, 388.6, -118.5, 1435.3, 6.933, 45.964, 4.551
10, 0, 0.300, 0.98, 1, -41.446, 16.950, 388.8, -119.1, 1436.2, 7.382, 46.034, 4.340
11, 0, 0.334, 0.98, 1, -41.353, 16.879, 391.4, -120.7, 1442.5, 7.469, 45.904, 4.343
12, 0, 0.367, 0.98, 1, -40.856, 17.228, 392.0, -121.7, 1443.5, 7.737, 46.028, 4.072
13, 0, 0.400, 0.98, 1, -40.330, 17.571, 393.2, -123.2, 1444.9, 7.746, 46.118, 3.907
14, 0, 0.434, 0.98, 1, -39.675, 17.448, 393.4, -124.0, 1442.5, 7.625, 46.214, 3.675
15, 0, 0.467, 0.98, 1, -40.106, 17.554, 394.0, -125.5, 1440.7, 7.318, 46.666, 3.602
16, 0, 0.501, 0.98, 1, -40.186, 17.458, 394.5, -127.4, 1440.3, 6.937, 46.793, 3.726
17, 0, 0.534, 0.98, 1, -40.382, 17.815, 397.0, -129.9, 1444.4, 6.054, 47.492, 4.163
18, 0, 0.567, 0.98, 1, -40.950, 16.637, 399.2, -132.1, 1447.2, 5.526, 47.568, 4.290
19, 0, 0.601, 0.98, 1, -40.300, 17.704, 403.0, -136.1, 1456.5, 6.498, 47.881, 3.997
20, 0, 0.634, 0.98, 1, -40.604, 17.888, 406.4, -139.8, 1461.2, 6.361, 48.183, 4.247
21, 0, 0.667, 0.98, 1, -45.288, 15.173, 403.2, -141.0, 1444.4, 3.872, 51.404, 7.117
22, 0, 0.701, 0.88, 1, -44.882, 13.871, 402.8, -143.9, 1436.8, 0.972, 51.876, 9.056
23, 0, 0.734, 0.98, 1, -44.998, 12.421, 403.3, -146.6, 1431.6, -1.446, 52.260, 10.967
24, 0, 0.767, 0.98, 1, -44.145, 11.857, 405.3, -149.3, 1430.3, -2.583, 52.185, 12.083
25, 0, 0.801, 0.98, 1, -42.610, 12.857, 407.3, -152.0, 1430.7, -3.222, 52.341, 13.320
26, 0, 0.834, 0.98, 1, -42.594, 13.192, 408.5, -153.9, 1427.0, -3.207, 51.672, 13.973
27, 0, 0.868, 0.98, 1, -42.093, 13.009, 411.6, -155.6, 1428.6, -2.409, 51.189, 14.085
28, 0, 0.901, 0.98, 1, -41.857, 14.066, 414.1, -157.5, 1431.1, -1.781, 51.305, 14.121
29, 0, 0.934, 0.98, 1, -43.277, 13.148, 418.5, -159.5, 1440.1, -1.526, 51.610, 14.572
30, 0, 0.968, 0.98, 1, -44.151, 13.181, 422.3, -161.1, 1449.0, -1.096, 51.687, 14.743
31, 0, 1.001, 0.98, 1, -43.498, 14.760, 425.8, -163.1, 1457.8, -1.376, 52.188, 15.812
32, 0, 1.034, 0.88, 1, -43.275, 15.631, 428.5, -164.4, 1464.8, -1.436, 52.193, 16.173
33, 0, 1.068, 0.88, 1, -40.862, 15.054, 430.8, -165.8, 1471.9, -2.109, 50.960, 16.592
34, 0, 1.101, 0.88, 1, -42.029, 14.043, 433.4, -166.9, 1479.0, -2.403, 50.166, 16.508
35, 0, 1.134, 0.88, 1, -42.190, 13.812, 431.8, -166.4, 1473.7, -3.119, 50.946, 16.759
36, 0, 1.168, 0.88, 1, -42.210, 14.583, 431.6, -166.3, 1474.7, -3.073, 51.136, 16.050
37, 0, 1.201, 0.88, 1, -42.859, 13.560, 432.5, -165.9, 1479.8, -2.599, 51.551, 15.036
38, 0, 1.235, 0.88, 1, -43.453, 14.281, 434.5, -165.2, 1490.8, -2.452, 52.186, 14.109
39, 0, 1.268, 0.88, 1, -43.696, 14.987, 429.7, -161.5, 1479.0, -2.066, 54.074, 12.987
40, 0, 1.301, 0.88, 1, -44.310, 14.785, 425.8, -158.4, 1472.1, -1.459, 55.250, 11.328
41, 0, 1.335, 0.88, 1, -44.477, 15.174, 423.0, -155.5, 1468.9, -0.640, 56.251, 9.713
42, 0, 1.368, 0.88, 1, -44.990, 17.165, 422.0, -153.8, 1470.2, 0.470, 56.352, 7.726
43, 0, 1.401, 0.88, 1, -44.882, 18.634, 420.0, -151.3, 1464.4, 2.031, 56.460, 5.900
44, 0, 1.435, 0.88, 1, -45.353, 18.796, 418.0, -148.5, 1456.5, 3.276, 55.462, 4.546
45, 0, 1.468, 0.88, 1, -43.979, 19.216, 416.0, -146.4, 1448.5, 4.163, 54.407, 3.848
46, 0, 1.502, 0.98, 1, -44.331, 18.938, 414.2, -144.8, 1440.2, 4.129, 53.493, 3.905
47, 0, 1.535, 0.98, 1, -44.939, 17.809, 412.3, -143.5, 1433.9, 3.573, 53.236, 4.635
48, 0, 1.568, 0.88, 1, -44.549, 15.735, 410.5, -142.5, 1430.1, 2.110, 54.474, 6.256
49, 0, 1.602, 0.88, 1, -45.093, 14.799, 408.7, -142.0, 1426.2, 0.073, 55.515, 8.451
50, 0, 1.635, 0.88, 1, -44.765, 13.007, 408.8, -142.0, 1429.8, -1.947, 55.859, 10.541
51, 0, 1.668, 0.88, 1, -44.766, 11.366, 405.6, -141.3, 1423.8, -3.785, 56.247, 12.525
