frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.554, 0.93, 1, 2.529, -0.931, -100.1, -32.1, 689.1, -8.250, 1.851, 7.168
2, 0, 0.698, 0.98, 1, 3.943, -2.950, -98.6, -32.3, 688.0, -9.979, -0.497, 8.871
3, 0, 0.752, 0.98, 1, 3.376, -3.763, -97.8, -32.0, 695.0, -10.583, -0.161, 9.518
4, 0, 0.811, 0.98, 1, 2.576, -2.501, -100.1, -29.1, 704.4, -9.197, 0.715, 9.414
5, 0, 0.865, 0.98, 1, 0.773, -1.875, -103.7, -24.8, 706.1, -8.281, 3.336, 8.677
6, 0, 0.919, 0.98, 1, -0.605, -1.319, -108.2, -19.7, 711.0, -7.396, 5.363, 8.385
7, 0, 0.977, 0.98, 1, -0.675, -2.151, -109.4, -17.1, 710.5, -8.496, 5.579, 8.203
8, 0, 1.030, 0.98, 1, -1.130, -2.427, -111.6, -13.8, 713.0, -9.147, 6.179, 7.853
9, 0, 1.078, 0.98, 1, -1.273, -3.359, -113.5, -12.2, 716.2, -10.095, 6.381, 7.543
10, 0, 1.135, 0.98, 1, -2.188, -2.965, -117.3, -8.6, 721.6, -10.317, 7.578, 6.879
11, 0, 1.186, 0.98, 1, -3.129, -3.011, -119.4, -4.6, 725.9, -10.510, 9.006, 6.835
12, 0, 1.240, 0.98, 1, -3.068, -4.275, -119.0, -2.7, 719.2, -11.763, 8.961, 7.021
13, 0, 1.291, 0.98, 1, -4.151, -4.964, -119.1, -0.7, 712.5, -12.580, 10.392, 7.742
14, 0, 1.345, 0.98, 1, -4.370, -6.197, -119.2, -0.2, 708.8, -14.049, 10.533, 8.141
15, 0, 1.399, 0.98, 1, -5.033, -7.063, -120.8, -0.2, 708.9, -14.606, 11.377, 8.502
16, 0, 1.455, 0.98, 1, -5.481, -7.534, -121.9, -0.3, 711.3, -14.804, 11.810, 8.906
17, 0, 1.508, 0.98, 1, -6.099, -7.795, -123.4, -1.1, 711.8, -15.499, 12.729, 9.313
18, 0, 1.564, 0.98, 1, -6.174, -8.777, -124.1, -2.3, 709.6, -16.466, 13.057, 9.677
19, 0, 1.628, 0.98, 1, -6.081, -9.027, -124.7, -2.7, 709.9, -16.765, 12.898, 9.944
20, 0, 1.690, 0.98, 1, -6.413, -9.014, -125.8, -3.5, 709.5, -16.741, 13.448, 10.096
21, 0, 1.742, 0.98, 1, -6.545, -8.983, -126.9, -4.2, 710.8, -16.615, 13.640, 10.061
22, 0, 1.793, 0.98, 1, -6.628, -8.668, -127.4, -4.9, 708.9, -16.386, 13.805, 9.905
23, 0, 1.844, 0.98, 1, -6.633, -8.576, -127.7, -5.2, 708.3, -16.278, 13.903, 9.730
24, 0, 1.899, 0.98, 1, -6.573, -8.121, -127.2, -5.8, 705.0, -15.880, 13.704, 9.356
25, 0, 1.950, 0.98, 1, -6.340, -8.326, -126.8, -6.3, 704.2, -16.001, 13.436, 9.264
26, 0, 2.005, 0.98, 1, -6.232, -8.402, -125.8, -7.8, 701.6, -16.213, 13.151, 9.470
27, 0, 2.058, 0.98, 1, -6.050, -8.322, -125.0, -8.6, 699.6, -16.131, 13.034, 9.514
28, 0, 2.123, 0.98, 1, -5.797, -8.432, -123.7, -9.9, 694.4, -16.204, 12.688, 9.623
29, 0, 2.175, 0.98, 1, -5.500, -8.195, -123.0, -10.8, 690.8, -15.777, 12.270, 9.452
30, 0, 2.225, 0.98, 1, -5.396, -8.122, -122.3, -11.8, 685.6, -15.882, 12.041, 9.174
31, 0, 2.276, 0.98, 1, -4.944, -7.757, -122.5, -12.4, 684.6, -15.536, 11.456, 9.084
32, 0, 2.328, 0.98, 1, -4.151, -7.111, -123.4, -13.8, 684.4, -14.686, 10.330, 9.166
33, 0, 2.380, 0.98, 1, -3.902, -6.632, -124.3, -14.4, 686.1, -14.158, 9.929, 9.514
34, 0, 2.432, 0.98, 1, -3.851, -6.874, -124.5, -14.7, 685.1, -14.554, 9.908, 9.456
35, 0, 2.480, 0.98, 1, -4.040, -7.214, -124.8, -15.1, 682.0, -15.037, 10.279, 9.435
36, 0, 2.532, 0.98, 1, -4.245, -7.464, -125.2, -15.7, 678.1, -15.497, 10.645, 9.218
