frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.000, 0.88, 1, -31.224, 25.824, 272.8, -120.9, 1331.8, 14.079, 33.579, -5.461
2, 0, 0.033, 0.88, 1, -29.905, 25.930, 286.4, -125.9, 1394.4, 20.142, 35.938, -9.819
3, 0, 0.067, 0.93, 1, -27.407, 27.893, 290.1, -127.3, 1409.3, 22.421, 38.082, -11.929
4, 0, 0.100, 0.88, 1, -28.253, 29.294, 297.9, -128.8, 1433.0, 22.635, 38.172, -12.474
5, 0, 0.133, 0.88, 1, -27.479, 28.513, 303.7, -128.8, 1443.4, 23.177, 37.476, -12.812
6, 0, 0.167, 0.93, 1, -26.748, 28.355, 306.1, -128.5, 1445.8, 22.855, 36.593, -12.629
7, 0, 0.200, 0.93, 1, -26.314, 27.051, 309.9, -128.8, 1446.6, 22.769, 36.398, -12.399
8, 0, 0.234, 0.98, 1, -26.698, 25.023, 311.1, -128.6, 1444.3, 22.547, 35.856, -12.165
9, 0, 0.267, 0.98, 1, -25.279, 25.143, 312.0, -128.4, 1439.7, 22.145, 34.961, -11.674
10, 0, 0.300, 0.98, 1, -26.197, 24.719, 314.5, -129.0, 1441.5, 22.098, 34.519, -11.160
11, 0, 0.334, 0.98, 1, -26.683, 25.127, 315.9, -128.8, 1443.2, 22.076, 34.006, -10.988
12, 0, 0.367, 0.98, 1, -26.752, 24.777, 316.9, -129.0, 1443.0, 21.723, 33.798, -10.367
13, 0, 0.400, 0.98, 1, -26.512, 25.149, 317.1, -128.9, 1444.3, 21.802, 34.025, -10.104
14, 0, 0.434, 0.98, 1, -28.482, 26.037, 319.5, -129.5, 1452.3, 22.001, 34.445, -10.201
15, 0, 0.467, 0.93, 1, -28.730, 28.630, 319.9, -129.1, 1453.5, 22.948, 34.395, -10.373
16, 0, 0.501, 0.93, 1, -29.524, 30.866, 321.0, -128.3, 1455.8, 23.732, 34.835, -10.838
17, 0, 0.534, 0.93, 1, -30.455, 31.409, 322.3, -127.5, 1459.0, 24.057, 35.122, -11.273
18, 0, 0.567, 0.93, 1, -31.577, 32.244, 322.8, -126.9, 1462.4, 24.360, 35.274, -11.685
19, 0, 0.601, 0.93, 1, -33.574, 32.811, 323.7, -126.1, 1465.3, 25.176, 35.679, -12.422
20, 0, 0.634, 0.93, 1, -30.278, 31.404, 323.4, -125.6, 1464.2, 25.274, 35.576, -12.646
21, 0, 0.667, 0.93, 1, -29.503, 31.543, 323.8, -125.1, 1466.8, 26.124, 35.903, -13.385
22, 0, 0.701, 0.93, 1, -28.248, 32.138, 324.4, -125.0, 1468.3, 26.291, 35.756, -13.519
23, 0, 0.734, 0.93, 1, -28.922, 32.033, 326.0, -124.8, 1475.1, 26.122, 35.520, -13.004
24, 0, 0.767, 0.93, 1, -25.893, 31.804, 326.6, -124.6, 1477.0, 25.664, 34.703, -11.942
25, 0, 0.801, 0.98, 1, -24.890, 30.797, 324.7, -124.1, 1472.7, 24.982, 35.026, -11.718
26, 0, 0.834, 0.98, 1, -26.168, 30.498, 323.0, -123.9, 1466.6, 24.461, 34.807, -11.224
27, 0, 0.868, 0.98, 1, -27.349, 29.040, 319.3, -124.3, 1457.4, 25.125, 35.051, -11.478
28, 0, 0.901, 0.98, 1, -30.550, 27.571, 313.7, -124.1, 1439.6, 25.081, 35.483, -11.409
29, 0, 0.934, 0.98, 1, -31.548, 27.539, 308.3, -124.3, 1424.9, 24.639, 36.039, -11.199
30, 0, 0.968, 0.98, 1, -33.296, 27.667, 303.1, -124.7, 1413.9, 24.380, 36.963, -11.087
31, 0, 1.001, 0.98, 1, -34.346, 28.128, 298.2, -125.2, 1403.9, 23.890, 38.286, -10.923
32, 0, 1.034, 0.98, 1, -33.376, 28.242, 294.4, -125.9, 1398.7, 23.671, 39.128, -10.856
33, 0, 1.068, 0.98, 1, -32.923, 27.577, 291.7, -126.4, 1397.4, 23.737, 40.003, -11.129
34, 0, 1.101, 0.98, 1, -34.566, 28.567, 287.9, -126.0, 1388.9, 23.367, 40.199, -10.958
35, 0, 1.134, 0.93, 1, -33.772, 27.953, 286.3, -126.5, 1388.0, 22.633, 40.663, -10.686
36, 0, 1.168, 0.98, 1, -32.558, 26.657, 284.3, -126.4, 1385.5, 22.370, 40.546, -10.568
37, 0, 1.201, 0.93, 1, -33.188, 26.930, 284.2, -127.1, 1389.2, 22.164, 40.695, -10.434
38, 0, 1.235, 0.98, 1, -33.080, 26.596, 282.8, -127.5, 1386.8, 22.506, 40.781, -10.583
39, 0, 1.268, 0.98, 1, -32.877, 27.309, 283.4, -127.9, 1391.8, 22.356, 40.831, -10.385
40, 0, 1.301, 0.93, 1, -32.517, 27.129, 283.4, -128.1, 1391.2, 22.803, 41.209, -10.618
41, 0, 1.335, 0.93, 1, -33.495, 27.340, 283.6, -127.7, 1391.1, 22.649, 41.251, -10.912
42, 0, 1.368, 0.98, 1, -34.669, 27.127, 285.3, -128.0, 1392.9, 22.660, 41.347, -10.891
43, 0, 1.401, 0.98, 1, -36.056, 26.441, 286.2, -127.6, 1392.2, 22.978, 41.153, -11.282
44, 0, 1.435, 0.98, 1, -35.276, 26.395, 288.1, -127.8, 1393.7, 23.014, 41.429, -11.547
45, 0, 1.468, 0.98, 1, -35.392, 27.058, 290.0, -127.6, 1395.5, 22.540, 41.139, -11.273
46, 0, 1.502, 0.98, 1, -36.223, 26.512, 292.1, -127.4, 1397.2, 22.583, 41.299, -11.086
47, 0, 1.535, 0.93, 1, -35.660, 25.605, 294.2, -127.3, 1398.9, 22.260, 41.368, -11.033
48, 0, 1.568, 0.93, 1, -36.351, 26.518, 296.3, -127.0, 1398.8, 22.411, 41.598, -11.115
49, 0, 1.602, 0.93, 1, -36.267, 26.347, 298.0, -126.7, 1397.4, 23.007, 42.285, -11.541
50, 0, 1.635, 0.93, 1, -36.286, 26.468, 299.6, -126.3, 1396.7, 22.962, 42.245, -11.591
51, 0, 1.668, 0.93, 1, -35.847, 25.988, 301.5, -125.9, 1397.2, 22.840, 42.230, -11.631
52, 0, 1.702, 0.93, 1, -36.766, 25.797, 302.9, -125.8, 1395.6, 23.050, 42.667, -11.820
53, 0, 1.735, 0.93, 1, -37.652, 26.665, 304.3, -125.3, 1394.3, 23.371, 42.932, -11.911
54, 0, 1.768, 0.93, 1, -37.203, 26.678, 305.8, -125.6, 1396.5, 23.205, 43.110, -11.740
55, 0, 1.802, 0.93, 1, -36.396, 27.030, 307.1, -125.7, 1397.1, 23.254, 42.896, -11.647
56, 0, 1.835, 0.93, 1, -36.524, 26.823, 307.4, -125.1, 1396.7, 23.731, 43.416, -11.958
57, 0, 1.869, 0.93, 1, -37.009, 27.178, 306.7, -124.7, 1393.1, 24.259, 43.772, -12.374
58, 0, 1.902, 0.93, 1, -37.470, 26.157, 306.4, -123.2, 1391.1, 24.435, 43.991, -12.662
59, 0, 1.935, 0.98, 1, -36.838, 26.582, 304.6, -120.7, 1384.5, 25.115, 45.438, -13.430
60, 0, 1.969, 0.98, 1, -38.385, 26.352, 303.5, -118.4, 1381.6, 26.369, 46.625, -14.114
61, 0, 2.002, 0.98, 1, -35.110, 28.333, 302.1, -116.3, 1380.0, 27.092, 47.930, -14.694
62, 0, 2.035, 0.88, 1, -35.674, 28.349, 301.0, -114.6, 1381.3, 28.562, 48.205, -16.077
63, 0, 2.069, 0.88, 1, -36.576, 29.983, 299.0, -113.6, 1379.0, 29.723, 48.523, -17.434
64, 0, 2.102, 0.88, 1, -39.114, 28.209, 299.5, -113.2, 1387.6, 29.733, 49.648, -17.992
65, 0, 2.135, 0.88, 1, -37.439, 26.832, 300.3, -113.5, 1393.4, 29.159, 49.763, -18.014
66, 0, 2.169, 0.88, 1, -37.540, 26.417, 299.9, -113.4, 1395.5, 28.939, 49.910, -18.180
67, 0, 2.202, 0.88, 1, -37.731, 27.441, 297.0, -112.9, 1385.0, 30.036, 49.547, -18.674
68, 0, 2.236, 0.98, 1, -36.253, 26.202, 298.9, -113.7, 1393.7, 28.503, 47.958, -17.661
69, 0, 2.269, 0.98, 1, -37.150, 26.904, 298.3, -113.6, 1390.7, 28.741, 47.929, -17.524
70, 0, 2.302, 0.98, 1, -34.606, 27.775, 298.9, -114.1, 1392.4, 28.154, 46.327, -16.897
71, 0, 2.336, 0.98, 1, -35.424, 27.077, 299.9, -114.2, 1391.7, 27.543, 45.825, -16.787
